EU-001	eu-ai-act-compliance	On what date did Regulation (EU) 2024/1689 (the EU AI Act) enter into force?	Art 113 of Regulation (EU) 2024/1689	1 August 2024.	1
EU-002	eu-ai-act-compliance	From what date do the prohibitions on AI practices in Article 5 of the EU AI Act apply?	Art 113 of Regulation (EU) 2024/1689	From 2 August 2025.	1
EU-003	eu-ai-act-compliance	Above what cumulative amount of compute used for training is a general-purpose AI model presumed to present systemic risk?	Art 51(2) of Regulation (EU) 2024/1689	More than 10^25 FLOPs of cumulative compute used for its training.	1
EU-004	eu-ai-act-compliance	What is the maximum fine for violating a prohibited AI practice under Article 5 of the EU AI Act?	Art 99(3) of Regulation (EU) 2024/1689	Up to EUR 35,000,000 or, if the offender is a company, up to 7% of its total worldwide annual turnover, whichever is higher.	1
EU-005	eu-ai-act-compliance	What is the maximum fine for violations of the EU AI Act other than Article 5 prohibited practices and supplying incorrect information to notified bodies?	Art 99(4) of Regulation (EU) 2024/1689	Up to EUR 15,000,000 or, if the offender is a company, up to 3% of its total worldwide annual turnover, whichever is higher.	1
EU-006	eu-ai-act-compliance	How many distinct prohibited AI practices are listed in Article 5(1) of the EU AI Act?	Art 5(1)(a)-(h) of Regulation (EU) 2024/1689	Eight.	1
EU-007	eu-ai-act-compliance	Is social scoring of individuals under the EU AI Act prohibited or merely treated as a high-risk practice?	Art 5(1)(c) of Regulation (EU) 2024/1689	Prohibited under Article 5(1)(c), for both public and private actors.	1
EU-008	eu-ai-act-compliance	In which annex of the EU AI Act are the categories of high-risk AI systems listed?	Art 6(2) and Annex III of Regulation (EU) 2024/1689	Annex III.	1
EU-009	eu-ai-act-compliance	What is the maximum fine for supplying incorrect, incomplete or misleading information to notified bodies under the EU AI Act?	Art 99(5) of Regulation (EU) 2024/1689	Up to EUR 7,500,000 or, if the offender is a company, up to 1% of its total worldwide annual turnover, whichever is higher.	0
EU-010	eu-ai-act-compliance	Is it prohibited to put on the market or put into service AI systems that infer emotions of natural persons in the workplace and in educational institutions?	Art 5(1)(f) of Regulation (EU) 2024/1689	Yes, prohibited under Article 5(1)(f), except for narrow medical or safety reasons.	0
EU-011	eu-ai-act-compliance	Which provision of the EU AI Act prohibits the untargeted scraping of facial images from the internet or CCTV footage?	Art 5(1)(e) of Regulation (EU) 2024/1689	Article 5(1)(e).	0
EU-012	eu-ai-act-compliance	Which provision of the EU AI Act prohibits AI systems used to evaluate or classify a person's risk of committing criminal offences based solely on profiling?	Art 5(1)(d) of Regulation (EU) 2024/1689	Article 5(1)(d).	0
EU-013	eu-ai-act-compliance	Does the EU AI Act impose obligations on providers and deployers to take measures to ensure a sufficient level of AI literacy?	Art 4 of Regulation (EU) 2024/1689	Yes, to a reasonable extent and to the best of their ability, per Article 4.	0
EU-014	eu-ai-act-compliance	Under which article must AI systems intended to interact with natural persons be designed and developed so that those persons are informed that they are interacting with an AI system?	Art 50(1) of Regulation (EU) 2024/1689	Article 50(1).	0
EU-015	eu-ai-act-compliance	Under the EU AI Act, who must disclose that a deepfake has been artificially generated or manipulated?	Art 50(4) of Regulation (EU) 2024/1689	The deployer of the AI system that generated or manipulated the content.	0
EU-016	eu-ai-act-compliance	Under the EU AI Act, is a provider defined as a natural or legal person that develops an AI system or a general-purpose AI model and places it on the market or puts it into service under its own name or trademark?	Art 3(3) of Regulation (EU) 2024/1689	Yes.	0
EU-017	eu-ai-act-compliance	Does the EU AI Act define an AI system as a machine-based system designed to operate with varying levels of autonomy that infers how to generate outputs such as predictions, content, recommendations or decisions?	Art 3(1) of Regulation (EU) 2024/1689	Yes.	0
EU-018	eu-ai-act-compliance	If a high-risk AI system is substantially modified, must the provider carry out a new conformity assessment and update the technical documentation?	Art 25 of Regulation (EU) 2024/1689	Yes, a substantial modification triggers a new conformity assessment and requires updated technical documentation.	0
EU-019	eu-ai-act-compliance	Under which article must high-risk AI system providers establish, implement, document and maintain a risk management system?	Art 9 of Regulation (EU) 2024/1689	Article 9.	0
EU-020	eu-ai-act-compliance	Under which article must high-risk AI systems be designed and developed so that they can be effectively overseen by natural persons?	Art 14 of Regulation (EU) 2024/1689	Article 14.	0
EU-021	eu-ai-act-compliance	Do deployers of high-risk AI systems that are public entities or provide public services have to carry out a fundamental rights impact assessment before deploying the system?	Art 27 of Regulation (EU) 2024/1689	Yes, a fundamental rights impact assessment is required under Article 27.	0
EU-022	eu-ai-act-compliance	Must a high-risk AI system be CE marked before it is placed on the market or put into service in the EU?	Art 16(d) and Art 43 of Regulation (EU) 2024/1689	Yes, as part of the conformity assessment procedure, via Article 43.	0
